DATE-TIME	LANE	VOLUME (Veh/10sec)	VEL (MPH)	OCC %	%MID	%LARGE	SENSOR-TIME
9/25/06 1:34 AM	1	0	58	0	0	0	212452470
9/25/06 1:34 AM	1	1	60	9.4	0	100	212452480
9/25/06 1:34 AM	1	1	57	8.7	0	100	212452490
9/25/06 1:35 AM	1	2	54	17.6	0	100	212452500
9/25/06 1:35 AM	1	1	56	9.6	0	100	212452510
9/25/06 1:35 AM	1	2	53	13.3	0	50	212452520
9/25/06 1:35 AM	1	1	49	8.8	0	100	212452530
9/25/06 1:35 AM	1	0	49	0	0	0	212452540
9/25/06 1:35 AM	1	1	48	9.8	0	100	212452550
9/25/06 1:36 AM	1	0	48	0	0	0	212452560
9/25/06 1:36 AM	1	0	48	0	0	0	212452570
9/25/06 1:36 AM	1	2	49	13	50	50	212452580
9/25/06 1:36 AM	1	0	49	0	0	0	212452590
9/25/06 1:36 AM	1	0	49	0	0	0	212452600
9/25/06 1:36 AM	1	1	48	6.3	0	100	212452610
9/25/06 1:37 AM	1	1	46	10	0	100	212452620
9/25/06 1:37 AM	1	2	42	21.8	0	100	212452630
9/25/06 1:37 AM	1	0	42	0	0	0	212452640
9/25/06 1:37 AM	1	0	42	0	0	0	212452650
9/25/06 1:37 AM	1	0	42	0	0	0	212452660
9/25/06 1:37 AM	1	0	42	0	0	0	212452670
9/25/06 1:38 AM	1	1	43	7.5	0	100	212452680
9/25/06 1:38 AM	1	1	45	2.3	0	0	212452690
9/25/06 1:38 AM	1	1	44	8.7	0	100	212452700
9/25/06 1:38 AM	1	1	44	6.7	0	100	212452710
9/25/06 1:38 AM	1	0	44	0	0	0	212452720
9/25/06 1:38 AM	1	1	44	9.7	0	100	212452730
9/25/06 1:39 AM	1	0	44	0	0	0	212452740
9/25/06 1:39 AM	1	1	45	1.3	0	0	212452750
9/25/06 1:39 AM	1	0	45	0	0	0	212452760
9/25/06 1:39 AM	1	1	46	2.8	0	0	212452770
9/25/06 1:39 AM	1	1	46	11	0	100	212452780
9/25/06 1:39 AM	1	1	49	2.6	0	0	212452790
9/25/06 1:40 AM	1	0	49	0	0	0	212452800
9/25/06 1:40 AM	1	1	50	3.1	100	0	212452810
9/25/06 1:40 AM	1	0	50	0	0	0	212452820
9/25/06 1:40 AM	1	1	50	9.8	0	100	212452830
9/25/06 1:40 AM	1	0	50	0	0	0	212452840
9/25/06 1:40 AM	1	0	50	0	0	0	212452850
9/25/06 1:41 AM	1	0	50	0	0	0	212452860
9/25/06 1:41 AM	1	0	50	0	0	0	212452870
9/25/06 1:41 AM	1	2	51	3.7	50	0	212452880
9/25/06 1:41 AM	1	2	52	10.1	0	50	212452890
9/25/06 1:41 AM	1	1	52	12.3	0	100	212452900
9/25/06 1:41 AM	1	1	53	6.4	0	100	212452910
9/25/06 1:42 AM	1	0	53	0	0	0	212452920
9/25/06 1:42 AM	1	0	53	2.7	0	0	212452930
9/25/06 1:42 AM	1	1	55	7.5	0	100	212452940
9/25/06 1:42 AM	1	0	55	0	0	0	212452950
9/25/06 1:42 AM	1	2	55	16.8	0	100	212452960
9/25/06 1:42 AM	1	0	55	0	0	0	212452970
9/25/06 1:43 AM	1	1	53	2.7	0	0	212452980
9/25/06 1:43 AM	1	0	53	0	0	0	212452990
9/25/06 1:43 AM	1	2	51	13.2	50	50	212453000
9/25/06 1:43 AM	1	1	51	14.5	0	100	212453010
9/25/06 1:43 AM	1	2	49	13.8	0	100	212453020
9/25/06 1:43 AM	1	0	49	0	0	0	212453030
9/25/06 1:44 AM	1	0	49	0	0	0	212453040
9/25/06 1:44 AM	1	1	49	9.5	0	100	212453050
